id,imei_no,sim_no,log,lat,datetime
32653,hhhhh,111111,28.495567,77.305637,03-17-2021 09:39:01
32654,hhhhh,111111,28.495563,77.305643,03-17-2021 09:39:16
32655,hhhhh,111111,28.495565,77.305645,03-17-2021 09:39:31
32656,hhhhh,111111,28.495562,77.305655,03-17-2021 09:39:46
32657,hhhhh,111111,28.495560,77.305658,03-17-2021 09:40:01
32658,hhhhh,111111,28.495552,77.305670,03-17-2021 09:40:16
32659,hhhhh,111111,28.495547,77.305670,03-17-2021 09:40:31
32660,hhhhh,111111,28.495545,77.305658,03-17-2021 09:40:46
32661,hhhhh,111111,28.495540,77.305650,03-17-2021 09:41:01
32662,hhhhh,111111,28.495535,77.305640,03-17-2021 09:41:16
32663,hhhhh,111111,28.495532,77.305648,03-17-2021 09:41:31
32664,hhhhh,111111,28.495542,77.305643,03-17-2021 09:41:46
32665,hhhhh,111111,28.495540,77.305633,03-17-2021 09:42:01
32666,hhhhh,111111,28.495535,77.305645,03-17-2021 09:42:16
32667,hhhhh,111111,28.495538,77.305622,03-17-2021 09:42:32
32668,hhhhh,111111,28.495532,77.305635,03-17-2021 09:42:46
32669,hhhhh,111111,28.495527,77.305625,03-17-2021 09:43:16
32670,hhhhh,111111,28.495535,77.305623,03-17-2021 09:43:35
32671,hhhhh,111111,28.495540,77.305617,03-17-2021 09:43:46
32672,hhhhh,111111,28.495543,77.305612,03-17-2021 09:44:01
32673,hhhhh,111111,28.495547,77.305615,03-17-2021 09:44:16
32674,hhhhh,111111,28.495545,77.305632,03-17-2021 09:44:31
32675,hhhhh,111111,28.495547,77.305618,03-17-2021 09:44:46
32676,hhhhh,111111,28.495553,77.305587,03-17-2021 09:45:01
32677,hhhhh,111111,28.495555,77.305593,03-17-2021 09:45:19
32678,hhhhh,111111,28.495557,77.305595,03-17-2021 09:45:31
32679,hhhhh,111111,28.495557,77.305600,03-17-2021 09:45:46
32680,hhhhh,111111,28.495557,77.305607,03-17-2021 09:46:01
32681,hhhhh,111111,28.495555,77.305612,03-17-2021 09:46:20
32682,hhhhh,111111,28.495557,77.305608,03-17-2021 09:46:34
32683,hhhhh,111111,28.495558,77.305610,03-17-2021 09:46:46
32684,hhhhh,111111,28.495555,77.305632,03-17-2021 09:47:02
32685,hhhhh,111111,28.495555,77.305642,03-17-2021 09:47:16
32686,hhhhh,111111,28.495555,77.305638,03-17-2021 09:47:31
32687,hhhhh,111111,28.495557,77.305638,03-17-2021 09:47:46
32688,hhhhh,111111,28.495557,77.305635,03-17-2021 09:48:03
32689,hhhhh,111111,28.495562,77.305632,03-17-2021 09:48:32
32690,hhhhh,111111,28.495555,77.305643,03-17-2021 09:48:45
32691,hhhhh,111111,28.495558,77.305633,03-17-2021 09:48:50
32692,hhhhh,111111,28.495560,77.305633,03-17-2021 09:49:30
32693,hhhhh,111111,28.495565,77.305622,03-17-2021 09:49:30
32694,hhhhh,111111,28.495570,77.305613,03-17-2021 09:49:32
32695,hhhhh,111111,28.495575,77.305608,03-17-2021 09:52:33
32696,hhhhh,111111,28.495560,77.305620,03-17-2021 09:52:45
32697,hhhhh,111111,28.495557,77.305622,03-17-2021 09:52:58
32698,hhhhh,111111,28.495557,77.305622,03-17-2021 09:53:02
32699,hhhhh,111111,28.495557,77.305623,03-17-2021 09:53:19
32700,hhhhh,111111,28.495560,77.305623,03-17-2021 09:55:17
32701,hhhhh,111111,28.495540,77.305620,03-17-2021 09:55:32
32702,hhhhh,111111,28.495545,77.305618,03-17-2021 09:55:47
32703,hhhhh,111111,28.495553,77.305625,03-17-2021 09:56:02
