id,school_code,attendance_timestamp,rf_id,gwId
6448,sbsy35,20-Mar-21 15:06:03,050052D026A1,2
6449,sbsy35,20-Mar-21 15:06:08,050050633B0D,2
6450,sbsy35,20-Mar-21 15:06:09,050050633B0D,2
6451,sbsy35,20-Mar-21 15:06:11,20000EFF7BAA,2
6452,sbsy35,20-Mar-21 15:06:13,05004FCD40C7,2
6453,sbsy35,20-Mar-21 15:06:56,05004FCD40C7,2
6454,sbsy35,20-Mar-21 15:06:57,05004FCD40C7,2
6455,sbsy35,20-Mar-21 15:07:04,05004FCD40C7,2
6456,sbsy35,20-Mar-21 15:07:07,20000EFF7BAA,2
6457,sbsy35,20-Mar-21 15:07:24,050050633B0D,2
6458,sbsy35,20-Mar-21 15:07:25,050050633B0D,2
6459,sbsy35,20-Mar-21 15:13:01,05004FCD40C7,2
6460,sbsy35,20-Mar-21 15:13:08,05004FCD40C7,2
6461,sbsy35,20-Mar-21 15:13:14,05004FCD40C7,2
6462,sbsy35,20-Mar-21 15:13:18,05004FCD40C7,2
6463,sbsy35,20-Mar-21 15:13:20,05004FCD40C7,2
6464,sbsy35,20-Mar-21 15:14:02,05004FCD40C7,2
6465,sbsy35,20-Mar-21 15:14:03,05004FCD40C7,2
6466,sbsy35,20-Mar-21 15:14:09,05004FCD40C7,2
6467,sbsy35,20-Mar-21 15:14:16,05004FCD40C7,2
6468,sbsy35,20-Mar-21 15:14:20,05004FCD40C7,2
6469,sbsy35,20-Mar-21 15:14:23,05004FCD40C7,2
6470,sbsy35,20-Mar-21 15:14:28,05004FCD40C7,2
6471,sbsy35,20-Mar-21 15:15:53,20000EFF7BAA,2
6472,sbsy35,20-Mar-21 15:16:01,20000EFF7BAA,2
6473,sbsy35,20-Mar-21 15:16:09,20000EFF7BAA,2
6474,sbsy35,20-Mar-21 15:26:50,20000EFF7BAA,2
6475,sbsy35,20-Mar-21 15:26:58,20000EFF7BAA,2
6476,sbsy35,20-Mar-21 15:27:05,20000EFF7BAA,2
6477,sbsy35,20-Mar-21 15:28:00,05004FF956E5,2
6478,sbsy35,20-Mar-21 15:28:49,05004FF956E5,2
6479,sbsy35,20-Mar-21 15:29:00,05004FF956E5,2
6480,sbsy35,20-Mar-21 15:29:04,05004FF956E5,2
6481,sbsy35,20-Mar-21 15:29:15,2E0025932BB3,2
6482,sbsy35,20-Mar-21 15:29:16,2E0025932BB3,2
6483,sbsy35,20-Mar-21 15:29:21,2E0025932BB3,2
6484,sbsy35,20-Mar-21 15:29:25,2E0025932BB3,2
6485,sbsy35,20-Mar-21 15:29:56,05004FF956E5,2
6486,sbsy35,20-Mar-21 15:30:07,05004FF956E5,2
6487,sbsy35,20-Mar-21 15:30:20,05004FF956E5,2
6488,sbsy35,20-Mar-21 15:30:30,05004FF956E5,2
6489,sbsy35,20-Mar-21 15:30:36,05004FF956E5,2
6490,sbsy35,20-Mar-21 15:30:41,05004FF956E5,2
6491,sbsy35,20-Mar-21 15:30:46,05004FF956E5,2
6492,sbsy35,20-Mar-21 15:30:51,05004FF956E5,2
6493,sbsy35,20-Mar-21 15:30:52,05004FF956E5,2
6494,sbsy35,20-Mar-21 15:31:21,05004FF956E5,2
6495,sbsy35,20-Mar-21 15:31:22,05004FF956E5,2
6496,sbsy35,20-Mar-21 15:31:24,05004FF956E5,2
6497,sbsy35,20-Mar-21 15:31:25,05004FF956E5,2
6498,sbsy35,20-Mar-21 15:31:49,05004FF956E5,2
6499,sbsy35,20-Mar-21 15:31:50,05004FF956E5,2
6500,sbsy35,20-Mar-21 15:31:52,05004FF956E5,2
6501,s003,18-Mar-21 10:43:03,2E00255F2175,6
6502,s003,18-Mar-21 10:43:08,2E00255F2175,6
6503,s003,20-Mar-21 15:33:26,05004FF956E5,6
6504,s003,20-Mar-21 15:33:34,2E0025932BB3,6
6505,s003,20-Mar-21 15:33:42,050052CFFB63,6
6506,s003,20-Mar-21 15:33:45,2E001DBF038F,6
6507,s003,20-Mar-21 15:33:47,2E001DA56EF8,6
6508,s003,20-Mar-21 15:33:48,2E001DC208F9,6
6509,s003,20-Mar-21 15:33:50,2B0027C864A0,6
6510,s003,20-Mar-21 15:33:51,2B0027C5CB02,6
6511,s003,20-Mar-21 15:33:53,2E00255F2175,6
6512,s003,20-Mar-21 15:33:55,20000EF975A2,6
6513,s003,20-Mar-21 15:34:01,2E0024F603FF,6
6514,s003,20-Mar-21 15:34:03,2E001DC4DF28,6
6515,s003,20-Mar-21 15:34:08,20000EFC67B5,6
6516,s003,20-Mar-21 15:34:11,5D007B3C2B31,6
6517,s003,20-Mar-21 15:34:13,20000EFC1ECC,6
6518,s003,20-Mar-21 15:34:15,0500506AD5EA,6
6519,s003,20-Mar-21 15:34:18,0500506B1B25,6
6520,s003,20-Mar-21 15:34:25,20000F02C9E4,6
6521,s003,20-Mar-21 15:34:32,20000F02C9E4,6
6522,s003,20-Mar-21 15:34:36,050052831ECA,6
6523,s003,20-Mar-21 15:34:39,060060707264,6
6524,s003,20-Mar-21 15:34:41,2B002A7F2856,6
6525,s003,20-Mar-21 15:34:43,050052D02DAA,6
6526,s003,20-Mar-21 15:34:46,050052D026A1,6
6527,s003,20-Mar-21 15:34:56,050050633B0D,6
6528,s003,20-Mar-21 15:34:59,2E0025932BB3,6
6529,s003,20-Mar-21 15:35:00,2E0025932BB3,6
6530,s003,20-Mar-21 15:35:01,05004FF956E5,6
6531,s003,20-Mar-21 15:41:58,050052CFFB63,6
6532,s003,20-Mar-21 15:42:03,2E001DBF038F,6
6533,s003,20-Mar-21 15:57:23,050050707257,6
6534,s003,20-Mar-21 15:57:24,050050707257,6
6535,s003,20-Mar-21 15:57:26,050052831ECA,6
6536,s003,20-Mar-21 16:14:40,05004FF956E5,6
6537,s003,20-Mar-21 16:14:45,2E0025932BB3,6
6538,s003,20-Mar-21 16:30:35,BD8F38C500CF,6
6539,s003,20-Mar-21 16:43:29,2E001DC208F9,6
6540,s003,20-Mar-21 16:43:32,2E001DA56EF8,6
6541,s003,20-Mar-21 16:43:36,2E0025932BB3,6
6542,s003,20-Mar-21 16:43:40,050050633B0D,6
6543,s003,20-Mar-21 16:43:44,05004FF956E5,6
