division_id,school_code,medium_name,class_name,division_name,created_on
116,S009,English,4,A,2021-02-19 07:47:07.577799+00:00
117,S009,English,4,B,2021-02-19 07:47:22.411496+00:00
118,S009,English,5,A,2021-02-19 07:47:41.863765+00:00
119,S009,Hindi,5,A,2021-02-19 07:47:55.835170+00:00
120,S009,English,6,A,2021-02-19 07:48:10.458187+00:00
121,S009,English,7,A,2021-02-19 07:48:37.155515+00:00
122,S009,English,8,B,2021-02-19 07:48:58.850522+00:00
123,S009,English,9,A,2021-02-19 07:49:12.663977+00:00
124,S009,English,10,A,2021-02-19 07:49:26.564123+00:00
125,m001,English,1,A,2021-02-20 07:03:15.533892+00:00
126,m001,English,2,A,2021-02-20 07:03:29.396268+00:00
127,m001,English,3,A,2021-02-20 07:03:42.074180+00:00
128,m001,English,4,A,2021-02-20 07:03:57.339770+00:00
129,m001,English,5,A,2021-02-20 07:04:08.586062+00:00
130,m001,English,6,A,2021-02-20 07:04:23.634336+00:00
131,m001,English,7,A,2021-02-20 07:04:37.031272+00:00
132,m001,English,9,A,2021-02-20 07:04:56.594247+00:00
133,S004,English,Nursery,A,2021-02-24 08:34:39.729299+00:00
134,S004,English,L.K.G,A,2021-02-24 08:34:59.779361+00:00
135,S004,English,U.K.G,A,2021-02-24 08:35:16.683742+00:00
136,S004,English,1,A,2021-02-24 08:35:48.255648+00:00
137,S004,English,2,A,2021-02-24 08:36:01.854411+00:00
138,S004,English,3,A,2021-02-24 08:36:31.627834+00:00
139,S004,English,4,A,2021-02-24 08:36:48.048233+00:00
140,S004,English,5,A,2021-02-24 08:37:04.212391+00:00
141,demo1,English,11,G,2021-02-25 10:36:44.562281+00:00
142,S004,English,6,A,2021-02-26 07:10:12.290225+00:00
143,S004,English,7,A,2021-02-26 08:24:45.468579+00:00
144,S004,English,8,A,2021-02-26 08:24:58.851689+00:00
145,S004,English,9,A,2021-02-26 08:25:53.271067+00:00
146,c001,English,Nursery,A,2021-02-26 12:30:52.231309+00:00
147,sbsy25,English,1,A,2021-03-05 04:51:44.338201+00:00
148,sbsy25,English,2,A,2021-03-05 04:51:44.399624+00:00
149,sbsy25,English,3,A,2021-03-05 04:51:44.462693+00:00
150,sbsy25,English,4,A,2021-03-05 04:51:44.524652+00:00
151,sbsy25,English,5,A,2021-03-05 04:51:44.587655+00:00
152,sbsy25,English,6,A,2021-03-05 04:51:44.649629+00:00
153,sbsy25,English,7,A,2021-03-05 04:51:44.712636+00:00
154,sbsy25,English,8,A,2021-03-05 04:51:44.775678+00:00
155,sbsy25,Hindi,1,A,2021-03-05 04:51:44.868701+00:00
156,sbsy25,Hindi,2,A,2021-03-05 04:51:44.931721+00:00
157,sbsy25,Hindi,3,A,2021-03-05 04:51:44.993653+00:00
158,sbsy25,Hindi,4,A,2021-03-05 04:51:45.056654+00:00
159,sbsy25,Hindi,5,A,2021-03-05 04:51:45.118670+00:00
160,sbsy25,Hindi,6,A,2021-03-05 04:51:45.181764+00:00
161,sbsy25,Hindi,7,A,2021-03-05 04:51:45.243633+00:00
162,sbsy25,Hindi,8,A,2021-03-05 04:51:45.306639+00:00
163,sbsy26,Hindi,1,A,2021-03-06 07:42:55.541088+00:00
164,sbsy26,Hindi,2,A,2021-03-06 07:42:55.603544+00:00
165,sbsy26,Hindi,3,A,2021-03-06 07:42:55.665577+00:00
166,sbsy26,Hindi,4,A,2021-03-06 07:42:55.727626+00:00
167,sbsy26,Hindi,5,A,2021-03-06 07:42:55.790566+00:00
168,sbsy26,Hindi,6,A,2021-03-06 07:42:55.852642+00:00
169,sbsy26,Hindi,7,A,2021-03-06 07:42:55.915596+00:00
170,sbsy26,Hindi,8,A,2021-03-06 07:42:55.977620+00:00
171,sbsy27,English,1,A,2021-03-08 13:46:23.302714+00:00
172,sbsy27,English,2,A,2021-03-08 13:46:23.365192+00:00
173,sbsy27,English,3,A,2021-03-08 13:46:23.427166+00:00
174,sbsy27,English,4,A,2021-03-08 13:46:23.489146+00:00
175,sbsy27,English,5,A,2021-03-08 13:46:23.552178+00:00
176,sbsy27,English,6,A,2021-03-08 13:46:23.615239+00:00
177,sbsy27,English,7,A,2021-03-08 13:46:23.684182+00:00
178,sbsy27,English,8,A,2021-03-08 13:46:23.747173+00:00
179,sbsy27,Hindi,1,A,2021-03-08 13:46:23.841228+00:00
180,sbsy27,Hindi,2,A,2021-03-08 13:46:23.903207+00:00
181,sbsy27,Hindi,3,A,2021-03-08 13:46:23.966178+00:00
182,sbsy27,Hindi,4,A,2021-03-08 13:46:24.028188+00:00
183,sbsy27,Hindi,5,A,2021-03-08 13:46:24.091181+00:00
184,sbsy27,Hindi,6,A,2021-03-08 13:46:24.153215+00:00
185,sbsy27,Hindi,7,A,2021-03-08 13:46:24.216157+00:00
186,sbsy27,Hindi,8,A,2021-03-08 13:46:24.278184+00:00
187,sbsy28,English,1,A,2021-03-10 06:18:16.911841+00:00
188,sbsy28,English,2,A,2021-03-10 06:18:16.918216+00:00
189,sbsy28,English,3,A,2021-03-10 06:18:16.924411+00:00
